# US Airport Stations for METAR Reporting
# Format: ICAO_ID,NAME,LONGITUDE,LATITUDE,ELEVATION_M,STATE
# Data derived from FAA NASR - airports with ICAO codes likely to report METARs
# Note: Longitude comes before Latitude (matches GeoJSON convention)
#
# Major US Hub Airports
KATL,Hartsfield Jackson Atlanta Intl,-84.4281,33.6407,313,GA
KORD,Chicago O Hare Intl,-87.9073,41.9742,201,IL
KDFW,Dallas Fort Worth Intl,-97.0403,32.8998,184,TX
KDEN,Denver Intl,-104.6737,39.8561,1655,CO
KLAX,Los Angeles Intl,-118.4085,33.9416,38,CA
KJFK,John F Kennedy Intl,-73.7781,40.6413,4,NY
KSFO,San Francisco Intl,-122.3790,37.6213,4,CA
KLAS,Harry Reid Intl,-115.1523,36.0840,664,NV
KSEA,Seattle Tacoma Intl,-122.3088,47.4502,137,WA
KMCO,Orlando Intl,-81.3089,28.4294,29,FL
KPHX,Phoenix Sky Harbor Intl,-112.0080,33.4373,346,AZ
KMIA,Miami Intl,-80.2906,25.7959,3,FL
KIAH,George Bush Intercontinental,-95.3414,29.9844,29,TX
KBOS,Gen Edward Lawrence Logan Intl,-71.0096,42.3656,6,MA
KEWR,Newark Liberty Intl,-74.1687,40.6925,5,NJ
KMSP,Minneapolis St Paul Intl,-93.2218,44.8820,256,MN
KDTW,Detroit Metropolitan Wayne County,-83.3534,42.2124,196,MI
KPHL,Philadelphia Intl,-75.2411,39.8721,11,PA
KLGA,La Guardia,-73.8740,40.7772,6,NY
KFLL,Fort Lauderdale Hollywood Intl,-80.1527,26.0726,3,FL
KBWI,Baltimore Washington Intl,-76.6683,39.1754,47,MD
KDCA,Ronald Reagan Washington National,-77.0377,38.8521,5,DC
KSLC,Salt Lake City Intl,-111.9791,40.7884,1288,UT
KSAN,San Diego Intl,-117.1896,32.7336,5,CA
KTPA,Tampa Intl,-82.5332,27.9755,8,FL
KAUS,Austin Bergstrom Intl,-97.6699,30.1945,163,TX
KPDX,Portland Intl,-122.5975,45.5887,9,OR
KSTL,St Louis Lambert Intl,-90.3700,38.7487,188,MO
KBNA,Nashville Intl,-86.6782,36.1245,183,TN
KMCI,Kansas City Intl,-94.7139,39.2976,313,MO
KRDU,Raleigh Durham Intl,-78.7875,35.8776,134,NC
