# US populated places (Census Gazetteer 2023 coords + PEP 2023 population)
# population >= 1000; id = PP<7-digit GEOID>; LON,LAT order
# Generated by scripts/build_populated_places.py
id,name,lon,lat,elevation_m,state,population
PP3651000,New York,-73.93868,40.66271,,NY,8258035
PP0644000,Los Angeles,-118.41083,34.01939,,CA,3820914
PP1714000,Chicago,-87.68494,41.83705,,IL,2664452
PP4835000,Houston,-95.38881,29.78574,,TX,2314157
PP0455000,Phoenix,-112.09013,33.57215,,AZ,1650070
PP4260000,Philadelphia,-75.13335,40.00938,,PA,1550542
PP4865000,San Antonio,-98.52464,29.46281,,TX,1495295
PP0666000,San Diego,-117.13556,32.81498,,CA,1388320
PP4819000,Dallas,-96.76651,32.79333,,TX,1302868
PP1235000,Jacksonville,-81.66160,30.33686,,FL,985843
PP4805000,Austin,-97.75413,30.29862,,TX,979882
PP4827000,Fort Worth,-97.34857,32.78195,,TX,978468
PP0668000,San Jose,-121.81455,37.29601,,CA,969655
PP3918000,Columbus,-82.98488,39.98394,,OH,913175
PP3712000,Charlotte,-80.83099,35.20905,,NC,911311
PP1836003,Indianapolis city,-86.14593,39.77666,,IN,879293
PP0667000,San Francisco,-123.03223,37.72724,,CA,808988
PP5363000,Seattle,-122.35154,47.61933,,WA,755078
PP0820000,Denver,-104.88111,39.76185,,CO,716577
PP4055000,Oklahoma City,-97.51366,35.46708,,OK,702767
PP4752006,Nashville-Davidson,-86.78500,36.17180,,TN,687788
PP1150000,Washington,-77.01652,38.90425,,DC,678972
PP4824000,El Paso,-106.43111,31.84778,,TX,678958
PP3240000,Las Vegas,-115.26404,36.23350,,NV,660929
PP2507000,Boston,-71.01825,42.33855,,MA,653833
PP2622000,Detroit,-83.10224,42.38304,,MI,633218
PP4159000,Portland,-122.64997,45.53695,,OR,630498
PP2148006,Louisville/Jefferson County,-85.64738,38.16538,,KY,622981
PP4748000,Memphis,-89.96746,35.10903,,TN,618639
PP2404000,Baltimore,-76.61048,39.30003,,MD,565239
PP5553000,Milwaukee,-87.96670,43.06335,,WI,561385
PP3502000,Albuquerque,-106.64681,35.10478,,NM,560274
PP0477000,Tucson,-110.87077,32.15304,,AZ,547239
PP0627000,Fresno,-119.79336,36.78268,,CA,545716
PP0664000,Sacramento,-121.46816,38.56769,,CA,526384
PP0446000,Mesa,-111.71649,33.40063,,AZ,511648
PP1304000,Atlanta,-84.42267,33.76291,,GA,510823
PP2938000,Kansas City,-94.55512,39.12236,,MO,510704
PP0816000,Colorado Springs,-104.76075,38.86726,,CO,488664
PP3137000,Omaha,-96.05348,41.26270,,NE,483335
PP3755000,Raleigh,-78.64104,35.83187,,NC,482295
PP1245000,Miami,-80.20861,25.77516,,FL,455924
