# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP01001,01001,-72.62575,42.06237
ZIP01002,01002,-72.46479,42.37721
ZIP01003,01003,-72.52358,42.39188
ZIP01005,01005,-72.11208,42.41888
ZIP01007,01007,-72.40041,42.28393
ZIP01008,01008,-72.96408,42.19202
ZIP01009,01009,-72.34181,42.21139
ZIP01010,01010,-72.20535,42.12818
ZIP01011,01011,-72.96652,42.29013
ZIP01012,01012,-72.85819,42.37542
ZIP01013,01013,-72.59550,42.14201
ZIP01020,01020,-72.56192,42.17261
ZIP01022,01022,-72.54187,42.19719
ZIP01026,01026,-72.92571,42.47003
ZIP01027,01027,-72.75188,42.29501
ZIP01028,01028,-72.49811,42.06238
ZIP01029,01029,-73.03529,42.17627
ZIP01030,01030,-72.68697,42.07292
ZIP01031,01031,-72.19197,42.32781
ZIP01032,01032,-72.81478,42.45761
ZIP01033,01033,-72.50014,42.24495
ZIP01034,01034,-72.96110,42.09391
ZIP01035,01035,-72.56863,42.35649
ZIP01036,01036,-72.41772,42.07119
ZIP01037,01037,-72.19736,42.37604
ZIP01038,01038,-72.60404,42.37993
ZIP01039,01039,-72.69095,42.41130
ZIP01040,01040,-72.64245,42.21166
ZIP01050,01050,-72.87480,42.29126
ZIP01053,01053,-72.71358,42.35630
ZIP01054,01054,-72.48458,42.46890
ZIP01056,01056,-72.45781,42.18358
ZIP01057,01057,-72.32149,42.09360
ZIP01060,01060,-72.63039,42.32125
ZIP01062,01062,-72.70179,42.32303
ZIP01063,01063,-72.63954,42.31958
ZIP01066,01066,-72.62364,42.41304
ZIP01068,01068,-72.06069,42.35389
ZIP01069,01069,-72.30648,42.18886
ZIP01070,01070,-72.92535,42.51991
ZIP01071,01071,-72.87384,42.16006
ZIP01072,01072,-72.41724,42.45697
ZIP01073,01073,-72.74159,42.22695
ZIP01074,01074,-72.10389,42.38082
ZIP01075,01075,-72.58025,42.25653
ZIP01077,01077,-72.77735,42.05257
ZIP01079,01079,-72.33246,42.18574
ZIP01080,01080,-72.36156,42.18573
ZIP01081,01081,-72.23441,42.06131
ZIP01082,01082,-72.27916,42.29975
ZIP01083,01083,-72.19862,42.20684
ZIP01084,01084,-72.87499,42.36172
ZIP01085,01085,-72.77160,42.15350
ZIP01088,01088,-72.64036,42.38270
